depth,users_at_capacity,proof_only_bytes,claim_total_calldata_bytes,vote_total_calldata_bytes,claim_gas,vote_gas,commit,generated_at
5,32,160,356,548,89818,57618,6c49e44,2026-08-26T16:56:48Z
10,1024,320,516,708,91477,59310,6c49e44,2026-08-26T16:56:48Z
15,32768,480,676,868,93124,60989,6c49e44,2026-08-26T16:56:48Z
20,1000000+,640,836,1028,94759,62653,6c49e44,2026-08-26T16:56:48Z
25,33000000+,800,996,1188,96427,64352,6c49e44,2026-08-26T16:56:48Z
